B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.04283E-1	2.00000E-4	7.30823E-2	3.65412E+2	3.11220E+1	3.21640E+1	5.95177E+4
3.99900E-1	4.02247E-1	2.00000E-4	7.14549E-2	3.57274E+2	3.09100E+1	3.20450E+1	5.95777E+4
1.99900E-1	2.00788E-1	2.00000E-4	6.53641E-2	3.26820E+2	3.09510E+1	3.19940E+1	5.96387E+4
0.00000E+0	2.34215E-4	2.00000E-4	5.27416E-2	2.63708E+2	3.10210E+1	3.20410E+1	5.97118E+4
-1.99900E-1	-1.99488E-1	2.00000E-4	6.16867E-2	3.08433E+2	3.10120E+1	3.21040E+1	5.97767E+4
-3.99900E-1	-4.00965E-1	2.00000E-4	7.11928E-2	3.55964E+2	3.09970E+1	3.20720E+1	5.98377E+4
-5.99900E-1	-6.02346E-1	2.00000E-4	7.70211E-2	3.85105E+2	3.09950E+1	3.20630E+1	5.99019E+4
