B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.08578E-1	1.00000E-3	1.34650E-3	1.34650E+0	9.90160E+1	1.00089E+2	7.10775E+3
3.99900E-1	4.05652E-1	1.00000E-3	5.13861E-4	5.13861E-1	9.90380E+1	1.00100E+2	7.16967E+3
1.99900E-1	2.03038E-1	1.00000E-3	-3.22131E-4	-3.22131E-1	9.90580E+1	1.00142E+2	7.23169E+3
0.00000E+0	3.95208E-4	1.00000E-3	-1.15467E-3	-1.15467E+0	9.90670E+1	1.00147E+2	7.30466E+3
-1.99900E-1	-1.99666E-1	1.00000E-3	-1.99731E-3	-1.99731E+0	9.90750E+1	1.00167E+2	7.36669E+3
-3.99900E-1	-4.02733E-1	1.00000E-3	-2.86560E-3	-2.86560E+0	9.90760E+1	1.00186E+2	7.42672E+3
-5.99900E-1	-6.05792E-1	1.00000E-3	-3.74735E-3	-3.74735E+0	9.90720E+1	1.00184E+2	7.48775E+3
5.99900E-1	6.07713E-1	1.00000E-3	1.34406E-3	1.34406E+0	9.90540E+1	1.00172E+2	7.61771E+3
