B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.08516E-1	1.00000E-3	3.44592E-3	3.44592E+0	8.87890E+1	9.01790E+1	2.84469E+3
3.99900E-1	4.05176E-1	1.00000E-3	3.36516E-3	3.36516E+0	8.87770E+1	9.01190E+1	2.90570E+3
1.99900E-1	2.02257E-1	1.00000E-3	3.31326E-3	3.31326E+0	8.87830E+1	9.00890E+1	2.96674E+3
0.00000E+0	3.64245E-4	1.00000E-3	3.30467E-3	3.30468E+0	8.88050E+1	9.00380E+1	3.03973E+3
-1.99900E-1	-2.00854E-1	1.00000E-3	3.33992E-3	3.33992E+0	8.88380E+1	9.00560E+1	3.10175E+3
-3.99900E-1	-4.03420E-1	1.00000E-3	3.41471E-3	3.41471E+0	8.88740E+1	9.00420E+1	3.16268E+3
-5.99900E-1	-6.06608E-1	1.00000E-3	3.51506E-3	3.51506E+0	8.89150E+1	9.00130E+1	3.22772E+3
5.99900E-1	6.08309E-1	1.00000E-3	3.44558E-3	3.44558E+0	8.89930E+1	9.00610E+1	3.35769E+3
