B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
3.99900E-1	4.08989E-1	1.00000E-3	1.69913E-1	1.69913E+2	3.89950E+1	4.00470E+1	6.77929E+4
1.99900E-1	2.09787E-1	1.00000E-3	9.28466E-2	9.28466E+1	3.90090E+1	4.00600E+1	6.78549E+4
0.00000E+0	5.73166E-4	1.00000E-3	1.79049E-2	1.79049E+1	3.90030E+1	4.00600E+1	6.79297E+4
-1.99900E-1	-1.88206E-1	1.00000E-3	-5.16325E-2	-5.16325E+1	3.89980E+1	4.00550E+1	6.79917E+4
-3.99900E-1	-3.92333E-1	1.00000E-3	-6.01103E-2	-6.01103E+1	3.89980E+1	4.00500E+1	6.80517E+4
-5.99900E-1	-5.93807E-1	1.00000E-3	-1.54147E-1	-1.54147E+2	3.90000E+1	4.00580E+1	6.81137E+4
5.99900E-1	5.93842E-1	1.00000E-3	2.47211E-1	2.47211E+2	3.90010E+1	4.00500E+1	6.82537E+4
