B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.08536E-1	1.00000E-3	1.21038E-2	1.21038E+1	5.90550E+1	6.01510E+1	7.57187E+4
3.99900E-1	4.06904E-1	1.00000E-3	7.15196E-3	7.15196E+0	5.90640E+1	6.01760E+1	7.57787E+4
1.99900E-1	2.04184E-1	1.00000E-3	2.32197E-3	2.32197E+0	5.90660E+1	6.01780E+1	7.58417E+4
0.00000E+0	6.10047E-4	1.00000E-3	-2.51464E-3	-2.51464E+0	5.90580E+1	6.01810E+1	7.59127E+4
-1.99900E-1	-1.98234E-1	1.00000E-3	-7.50903E-3	-7.50903E+0	5.90510E+1	6.01850E+1	7.59747E+4
-3.99900E-1	-4.01171E-1	1.00000E-3	-1.26792E-2	-1.26792E+1	5.90390E+1	6.01610E+1	7.60347E+4
-5.99900E-1	-6.05170E-1	1.00000E-3	-1.79492E-2	-1.79492E+1	5.90280E+1	6.01580E+1	7.60977E+4
5.99900E-1	6.06804E-1	1.00000E-3	1.20967E-2	1.20967E+1	5.90030E+1	6.01220E+1	7.62308E+4
