B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.04118E-1	3.00000E-4	4.79313E-1	1.59771E+3	3.21290E+1	3.31690E+1	6.00818E+4
3.99900E-1	4.02917E-1	3.00000E-4	3.23684E-1	1.07895E+3	3.18970E+1	3.30480E+1	6.01427E+4
1.99900E-1	2.01437E-1	3.00000E-4	1.46343E-1	4.87808E+2	3.19400E+1	3.29900E+1	6.02027E+4
0.00000E+0	3.47199E-4	3.00000E-4	-3.28291E-2	-1.09430E+2	3.20220E+1	3.30400E+1	6.02747E+4
-1.99900E-1	-1.98802E-1	3.00000E-4	-1.94272E-1	-6.47573E+2	3.20160E+1	3.31520E+1	6.03387E+4
-3.99900E-1	-3.99858E-1	3.00000E-4	-3.97464E-1	-1.32488E+3	3.19990E+1	3.30990E+1	6.03997E+4
-5.99900E-1	-6.00484E-1	3.00000E-4	-5.52571E-1	-1.84190E+3	3.19940E+1	3.31250E+1	6.04577E+4
