B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.07063E-1	1.00000E-3	2.75200E-3	2.75200E+0	7.42010E+1	7.52370E+1	8.26537E+4
3.99900E-1	4.04483E-1	1.00000E-3	2.63877E-3	2.63877E+0	7.42020E+1	7.52680E+1	8.27138E+4
1.99900E-1	2.01924E-1	1.00000E-3	2.54943E-3	2.54943E+0	7.41870E+1	7.52800E+1	8.27747E+4
0.00000E+0	4.87039E-4	1.00000E-3	2.51376E-3	2.51377E+0	7.41540E+1	7.53070E+1	8.28467E+4
-1.99900E-1	-2.00077E-1	1.00000E-3	2.53673E-3	2.53673E+0	7.41200E+1	7.52950E+1	8.29097E+4
-3.99900E-1	-4.02415E-1	1.00000E-3	2.61261E-3	2.61261E+0	7.40870E+1	7.52820E+1	8.29697E+4
-5.99900E-1	-6.05352E-1	1.00000E-3	2.70598E-3	2.70599E+0	7.40520E+1	7.52590E+1	8.30317E+4
5.99900E-1	6.07104E-1	1.00000E-3	2.75250E-3	2.75250E+0	7.39910E+1	7.51930E+1	8.31617E+4
