B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.05519E-1	2.00000E-8	1.71099E-2	8.55493E+5	2.29830E+1	2.39730E+1	5.38747E+4
3.99900E-1	4.03903E-1	2.00000E-8	1.09732E-2	5.48658E+5	2.30020E+1	2.39900E+1	5.39357E+4
1.99900E-1	2.02199E-1	2.00000E-8	4.92029E-3	2.46015E+5	2.30000E+1	2.39990E+1	5.39968E+4
0.00000E+0	6.48489E-4	2.00000E-8	-8.73031E-4	-4.36515E+4	2.30000E+1	2.40040E+1	5.40688E+4
-1.99900E-1	-1.98764E-1	2.00000E-8	-7.03255E-3	-3.51627E+5	2.30000E+1	2.40100E+1	5.41307E+4
-3.99900E-1	-4.01005E-1	2.00000E-8	-1.31747E-2	-6.58732E+5	2.30020E+1	2.40080E+1	5.41917E+4
-5.99900E-1	-6.02925E-1	2.00000E-8	-1.96652E-2	-9.83260E+5	2.30010E+1	2.40110E+1	5.42527E+4
