B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.04406E-1	2.00000E-4	8.69644E-1	4.34822E+3	2.99200E+1	3.10480E+1	5.88527E+4
3.99900E-1	4.04376E-1	2.00000E-4	5.74880E-1	2.87440E+3	2.99540E+1	3.09980E+1	5.89127E+4
1.99900E-1	2.02275E-1	2.00000E-4	2.50189E-1	1.25094E+3	3.00130E+1	3.10380E+1	5.89748E+4
0.00000E+0	3.47199E-4	2.00000E-4	-5.59992E-2	-2.79996E+2	3.00060E+1	3.10520E+1	5.90477E+4
-1.99900E-1	-1.96820E-1	2.00000E-4	-3.66438E-1	-1.83219E+3	2.99960E+1	3.10860E+1	5.91087E+4
-3.99900E-1	-3.99425E-1	2.00000E-4	-6.81388E-1	-3.40694E+3	2.99990E+1	3.10880E+1	5.91697E+4
-5.99900E-1	-6.01229E-1	2.00000E-4	-9.78189E-1	-4.89094E+3	2.99980E+1	3.10860E+1	5.92317E+4
