B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.05048E-1	1.00000E-3	6.16036E-3	6.16036E+0	2.19033E+2	2.19829E+2	2.72687E+4
3.99900E-1	4.02305E-1	1.00000E-3	6.14699E-3	6.14699E+0	2.19011E+2	2.19857E+2	2.73297E+4
1.99900E-1	2.01135E-1	1.00000E-3	6.13858E-3	6.13858E+0	2.19001E+2	2.19877E+2	2.73907E+4
0.00000E+0	1.17260E-3	1.00000E-3	6.13807E-3	6.13807E+0	2.19000E+2	2.19927E+2	2.74619E+4
-1.99900E-1	-1.98372E-1	1.00000E-3	6.14539E-3	6.14539E+0	2.19000E+2	2.19940E+2	2.75248E+4
-3.99900E-1	-4.00269E-1	1.00000E-3	6.15944E-3	6.15944E+0	2.19002E+2	2.19955E+2	2.75847E+4
-5.99900E-1	-6.03289E-1	1.00000E-3	6.18005E-3	6.18005E+0	2.19006E+2	2.20001E+2	2.76457E+4
5.99900E-1	6.05804E-1	1.00000E-3	6.17315E-3	6.17315E+0	2.19005E+2	2.20074E+2	2.77797E+4
