B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.07926E-1	1.00000E-3	5.02060E-3	5.02060E+0	1.98810E+2	1.99772E+2	2.51220E+4
3.99900E-1	4.04517E-1	1.00000E-3	4.99057E-3	4.99057E+0	1.98848E+2	1.99788E+2	2.51847E+4
1.99900E-1	2.02072E-1	1.00000E-3	4.98114E-3	4.98114E+0	1.98902E+2	1.99790E+2	2.52467E+4
0.00000E+0	9.17142E-4	1.00000E-3	4.97601E-3	4.97601E+0	1.98963E+2	1.99809E+2	2.53187E+4
-1.99900E-1	-1.98909E-1	1.00000E-3	4.97921E-3	4.97921E+0	1.99013E+2	1.99848E+2	2.53797E+4
-3.99900E-1	-4.01604E-1	1.00000E-3	4.99309E-3	4.99309E+0	1.99045E+2	1.99889E+2	2.54428E+4
-5.99900E-1	-6.04499E-1	1.00000E-3	5.01294E-3	5.01294E+0	1.99062E+2	1.99934E+2	2.55027E+4
5.99900E-1	6.07294E-1	1.00000E-3	5.03036E-3	5.03036E+0	1.99053E+2	2.00004E+2	2.56348E+4
