B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
3.99900E-1	4.10749E-1	1.00000E-3	4.76109E-3	4.76109E+0	2.19017E+2	2.19844E+2	2.73117E+4
1.99900E-1	2.06342E-1	1.00000E-3	4.25871E-3	4.25871E+0	2.19004E+2	2.19890E+2	2.73727E+4
0.00000E+0	1.43332E-3	1.00000E-3	3.77375E-3	3.77375E+0	2.18991E+2	2.19921E+2	2.74438E+4
-1.99900E-1	-1.89730E-1	1.00000E-3	3.29165E-3	3.29165E+0	2.18999E+2	2.19913E+2	2.75057E+4
-3.99900E-1	-3.92800E-1	1.00000E-3	2.80450E-3	2.80450E+0	2.19001E+2	2.19946E+2	2.75667E+4
-5.99900E-1	-5.93615E-1	1.00000E-3	2.32904E-3	2.32904E+0	2.19007E+2	2.19989E+2	2.76267E+4
5.99900E-1	5.98443E-1	1.00000E-3	5.27734E-3	5.27734E+0	2.19008E+2	2.20037E+2	2.77599E+4
