B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
3.99900E-1	4.09974E-1	1.00000E-3	2.16395E-1	2.16395E+2	3.79390E+1	3.89290E+1	6.66298E+4
1.99900E-1	2.06622E-1	1.00000E-3	1.16176E-1	1.16176E+2	3.80550E+1	3.90080E+1	6.66909E+4
0.00000E+0	6.48489E-4	1.00000E-3	2.13815E-2	2.13815E+1	3.80380E+1	3.90550E+1	6.67627E+4
-1.99900E-1	-1.90074E-1	1.00000E-3	-6.52150E-2	-6.52150E+1	3.79910E+1	3.90540E+1	6.68237E+4
-3.99900E-1	-3.92451E-1	1.00000E-3	-1.23216E-1	-1.23216E+2	3.79850E+1	3.90370E+1	6.68867E+4
-5.99900E-1	-5.91417E-1	1.00000E-3	-1.91296E-1	-1.91296E+2	3.79970E+1	3.90400E+1	6.69487E+4
5.99900E-1	5.93309E-1	1.00000E-3	3.08715E-1	3.08715E+2	3.80000E+1	3.90450E+1	6.70797E+4
