B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.04159E-1	2.00000E-4	7.29634E-2	3.64817E+2	3.11590E+1	3.21590E+1	5.95117E+4
3.99900E-1	4.02563E-1	2.00000E-4	7.06090E-2	3.53045E+2	3.09160E+1	3.20590E+1	5.95717E+4
1.99900E-1	2.01246E-1	2.00000E-4	6.46672E-2	3.23336E+2	3.09430E+1	3.19900E+1	5.96327E+4
0.00000E+0	2.71876E-4	2.00000E-4	5.19408E-2	2.59704E+2	3.10180E+1	3.20410E+1	5.97057E+4
-1.99900E-1	-1.99183E-1	2.00000E-4	5.57622E-2	2.78811E+2	3.10140E+1	3.21480E+1	5.97707E+4
-3.99900E-1	-4.00649E-1	2.00000E-4	6.94969E-2	3.47485E+2	3.09970E+1	3.20840E+1	5.98317E+4
-5.99900E-1	-6.02222E-1	2.00000E-4	7.57134E-2	3.78567E+2	3.09940E+1	3.20710E+1	5.98957E+4
