B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	5.99977E-1	1.00000E-3	6.11141E-3	6.11141E+0	2.39035E+2	2.40147E+2	2.92877E+4
3.99900E-1	4.02508E-1	1.00000E-3	5.60853E-3	5.60853E+0	2.39015E+2	2.40184E+2	2.93487E+4
1.99900E-1	2.02559E-1	1.00000E-3	5.11725E-3	5.11725E+0	2.39005E+2	2.40170E+2	2.94098E+4
0.00000E+0	1.44231E-3	1.00000E-3	4.62986E-3	4.62986E+0	2.38995E+2	2.40223E+2	2.94827E+4
-1.99900E-1	-1.92952E-1	1.00000E-3	4.16079E-3	4.16079E+0	2.39000E+2	2.40200E+2	2.95447E+4
-3.99900E-1	-3.94039E-1	1.00000E-3	3.67953E-3	3.67953E+0	2.39000E+2	2.40209E+2	2.96069E+4
-5.99900E-1	-5.95896E-1	1.00000E-3	3.21206E-3	3.21206E+0	2.39003E+2	2.40247E+2	2.96699E+4
5.99900E-1	5.99724E-1	1.00000E-3	6.09988E-3	6.09988E+0	2.39007E+2	2.40247E+2	2.98027E+4
