B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	5.87820E-1	1.00000E-3	1.07957E-2	1.07957E+1	2.79033E+2	2.81128E+2	3.29679E+4
3.99900E-1	3.89757E-1	1.00000E-3	1.07807E-2	1.07807E+1	2.79017E+2	2.81052E+2	3.30327E+4
1.99900E-1	1.94862E-1	1.00000E-3	1.07773E-2	1.07773E+1	2.79008E+2	2.80983E+2	3.30938E+4
0.00000E+0	1.87091E-3	1.00000E-3	1.07692E-2	1.07691E+1	2.79009E+2	2.80911E+2	3.31688E+4
-1.99900E-1	-1.91541E-1	1.00000E-3	1.07699E-2	1.07699E+1	2.79001E+2	2.80857E+2	3.32307E+4
-3.99900E-1	-3.88312E-1	1.00000E-3	1.07788E-2	1.07788E+1	2.79002E+2	2.80813E+2	3.32927E+4
-5.99900E-1	-5.88253E-1	1.00000E-3	1.07899E-2	1.07899E+1	2.78996E+2	2.80717E+2	3.33578E+4
5.99900E-1	5.91883E-1	1.00000E-3	1.07758E-2	1.07758E+1	2.79003E+2	2.80613E+2	3.34897E+4
