B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.04159E-1	3.00000E-4	1.25549E-1	4.18498E+2	3.20120E+1	3.31420E+1	6.01037E+4
3.99900E-1	4.01971E-1	3.00000E-4	1.21206E-1	4.04021E+2	3.18890E+1	3.30180E+1	6.01637E+4
1.99900E-1	2.00827E-1	3.00000E-4	1.07119E-1	3.57063E+2	3.19740E+1	3.30010E+1	6.02237E+4
0.00000E+0	4.22521E-4	3.00000E-4	8.49871E-2	2.83290E+2	3.20270E+1	3.30550E+1	6.02957E+4
-1.99900E-1	-1.99755E-1	3.00000E-4	9.95431E-2	3.31810E+2	3.20090E+1	3.30820E+1	6.03597E+4
-3.99900E-1	-4.00807E-1	3.00000E-4	1.09990E-1	3.66632E+2	3.19950E+1	3.30640E+1	6.04217E+4
-5.99900E-1	-6.02180E-1	3.00000E-4	1.15782E-1	3.85941E+2	3.19980E+1	3.30700E+1	6.04827E+4
