B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.08611E-1	1.00000E-3	2.83978E-2	2.83978E+1	5.40270E+1	5.50870E+1	7.35957E+4
3.99900E-1	4.08279E-1	1.00000E-3	1.98517E-2	1.98517E+1	5.40400E+1	5.51070E+1	7.36567E+4
1.99900E-1	2.05783E-1	1.00000E-3	1.14299E-2	1.14299E+1	5.40470E+1	5.51300E+1	7.37177E+4
0.00000E+0	6.86150E-4	1.00000E-3	3.37247E-3	3.37247E+0	5.40430E+1	5.51280E+1	7.37907E+4
-1.99900E-1	-1.97125E-1	1.00000E-3	-4.38312E-3	-4.38312E+0	5.40420E+1	5.51400E+1	7.38518E+4
-3.99900E-1	-3.98991E-1	1.00000E-3	-1.21859E-2	-1.21859E+1	5.40350E+1	5.51280E+1	7.39127E+4
-5.99900E-1	-6.03380E-1	1.00000E-3	-2.02024E-2	-2.02024E+1	5.40290E+1	5.51250E+1	7.39727E+4
5.99900E-1	6.06220E-1	1.00000E-3	2.83350E-2	2.83350E+1	5.40160E+1	5.51100E+1	7.41037E+4
