B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.04984E-1	3.00000E-6	1.90074E-2	6.33580E+3	2.69880E+1	2.80120E+1	5.66787E+4
3.99900E-1	4.02720E-1	3.00000E-6	1.75234E-2	5.84113E+3	2.70100E+1	2.80430E+1	5.67407E+4
1.99900E-1	2.01208E-1	3.00000E-6	1.59168E-2	5.30561E+3	2.70010E+1	2.80500E+1	5.68007E+4
0.00000E+0	3.84860E-4	3.00000E-6	1.32796E-2	4.42655E+3	2.70010E+1	2.80450E+1	5.68747E+4
-1.99900E-1	-1.99640E-1	3.00000E-6	1.68936E-2	5.63122E+3	2.70000E+1	2.80500E+1	5.69377E+4
-3.99900E-1	-4.01124E-1	3.00000E-6	1.95855E-2	6.52851E+3	2.70000E+1	2.80440E+1	5.69997E+4
-5.99900E-1	-6.03132E-1	3.00000E-6	2.21302E-2	7.37673E+3	2.70000E+1	2.80420E+1	5.70617E+4
