B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
3.99900E-1	4.11652E-1	1.00000E-3	4.05564E-3	4.05564E+0	1.98837E+2	1.99781E+2	2.51717E+4
1.99900E-1	2.10515E-1	1.00000E-3	3.53417E-3	3.53417E+0	1.98888E+2	1.99783E+2	2.52329E+4
0.00000E+0	1.17872E-3	1.00000E-3	3.03650E-3	3.03650E+0	1.98951E+2	1.99805E+2	2.53068E+4
-1.99900E-1	-1.88053E-1	1.00000E-3	2.54582E-3	2.54582E+0	1.99004E+2	1.99846E+2	2.53677E+4
-3.99900E-1	-3.94786E-1	1.00000E-3	2.04841E-3	2.04841E+0	1.99039E+2	1.99873E+2	2.54307E+4
-5.99900E-1	-5.94809E-1	1.00000E-3	1.56446E-3	1.56446E+0	1.99061E+2	1.99903E+2	2.54907E+4
5.99900E-1	6.00771E-1	1.00000E-3	4.57408E-3	4.57408E+0	1.99055E+2	1.99981E+2	2.56227E+4
