B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.05849E-1	2.00000E-8	5.27760E-2	2.63880E+6	2.19990E+1	2.29980E+1	5.31077E+4
3.99900E-1	4.06544E-1	2.00000E-8	3.80635E-2	1.90318E+6	2.20000E+1	2.30000E+1	5.31697E+4
1.99900E-1	2.05936E-1	2.00000E-8	1.89163E-2	9.45814E+5	2.20000E+1	2.30020E+1	5.32307E+4
0.00000E+0	6.86150E-4	2.00000E-8	2.50282E-3	1.25141E+5	2.19980E+1	2.30000E+1	5.33027E+4
-1.99900E-1	-1.93428E-1	2.00000E-8	-1.30137E-2	-6.50687E+5	2.19990E+1	2.29990E+1	5.33638E+4
-3.99900E-1	-3.96548E-1	2.00000E-8	-2.90383E-2	-1.45191E+6	2.20030E+1	2.30040E+1	5.34239E+4
-5.99900E-1	-5.98793E-1	2.00000E-8	-4.55416E-2	-2.27708E+6	2.20000E+1	2.30010E+1	5.34848E+4
