B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.05437E-1	5.00000E-8	1.70620E-2	3.41240E+5	2.39750E+1	2.49790E+1	5.44877E+4
3.99900E-1	4.03666E-1	5.00000E-8	1.07648E-2	2.15295E+5	2.40000E+1	2.49980E+1	5.45477E+4
1.99900E-1	2.02199E-1	5.00000E-8	4.76938E-3	9.53875E+4	2.40060E+1	2.50170E+1	5.46087E+4
0.00000E+0	3.09538E-4	5.00000E-8	-9.67665E-4	-1.93533E+4	2.40000E+1	2.50210E+1	5.46837E+4
-1.99900E-1	-1.98802E-1	5.00000E-8	-6.99284E-3	-1.39857E+5	2.40000E+1	2.50210E+1	5.47467E+4
-3.99900E-1	-4.00609E-1	5.00000E-8	-1.30951E-2	-2.61902E+5	2.40010E+1	2.50210E+1	5.48077E+4
-5.99900E-1	-6.03091E-1	5.00000E-8	-1.91626E-2	-3.83252E+5	2.40000E+1	2.50220E+1	5.48697E+4
