B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.08241E-1	1.00000E-3	6.44898E-3	6.44898E+0	1.78817E+2	1.79816E+2	2.22427E+4
3.99900E-1	4.04786E-1	1.00000E-3	6.41449E-3	6.41449E+0	1.78856E+2	1.79813E+2	2.23027E+4
1.99900E-1	2.02067E-1	1.00000E-3	6.39750E-3	6.39750E+0	1.78910E+2	1.79828E+2	2.23637E+4
0.00000E+0	7.45181E-4	1.00000E-3	6.39430E-3	6.39430E+0	1.78979E+2	1.79835E+2	2.24367E+4
-1.99900E-1	-2.00205E-1	1.00000E-3	6.40776E-3	6.40776E+0	1.79018E+2	1.79852E+2	2.24988E+4
-3.99900E-1	-4.02772E-1	1.00000E-3	6.43914E-3	6.43914E+0	1.79048E+2	1.79864E+2	2.25597E+4
-5.99900E-1	-6.05773E-1	1.00000E-3	6.48599E-3	6.48599E+0	1.79062E+2	1.79918E+2	2.26207E+4
5.99900E-1	6.08107E-1	1.00000E-3	6.45874E-3	6.45874E+0	1.79052E+2	1.79981E+2	2.27497E+4
