B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.07063E-1	1.00000E-3	2.74190E-3	2.74190E+0	7.42010E+1	7.52160E+1	8.26507E+4
3.99900E-1	4.04602E-1	1.00000E-3	2.63053E-3	2.63053E+0	7.42010E+1	7.52860E+1	8.27107E+4
1.99900E-1	2.02229E-1	1.00000E-3	2.54422E-3	2.54422E+0	7.41890E+1	7.52840E+1	8.27717E+4
0.00000E+0	4.49385E-4	1.00000E-3	2.50569E-3	2.50569E+0	7.41550E+1	7.52830E+1	8.28437E+4
-1.99900E-1	-1.99772E-1	1.00000E-3	2.52857E-3	2.52857E+0	7.41230E+1	7.52870E+1	8.29067E+4
-3.99900E-1	-4.02177E-1	1.00000E-3	2.60218E-3	2.60218E+0	7.40890E+1	7.52830E+1	8.29667E+4
-5.99900E-1	-6.05063E-1	1.00000E-3	2.69951E-3	2.69951E+0	7.40550E+1	7.52490E+1	8.30287E+4
5.99900E-1	6.06898E-1	1.00000E-3	2.74418E-3	2.74418E+0	7.39910E+1	7.51900E+1	8.31587E+4
