B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.08537E-1	1.00000E-3	2.10738E-3	2.10738E+0	9.90180E+1	1.00068E+2	7.11066E+3
3.99900E-1	4.05376E-1	1.00000E-3	2.06086E-3	2.06086E+0	9.90420E+1	1.00116E+2	7.17268E+3
1.99900E-1	2.02771E-1	1.00000E-3	2.02855E-3	2.02855E+0	9.90580E+1	1.00139E+2	7.23470E+3
0.00000E+0	3.95200E-4	1.00000E-3	2.01459E-3	2.01459E+0	9.90680E+1	1.00159E+2	7.30767E+3
-1.99900E-1	-2.00238E-1	1.00000E-3	2.02250E-3	2.02250E+0	9.90760E+1	1.00160E+2	7.36970E+3
-3.99900E-1	-4.03050E-1	1.00000E-3	2.05026E-3	2.05026E+0	9.90770E+1	1.00180E+2	7.42974E+3
-5.99900E-1	-6.06165E-1	1.00000E-3	2.08811E-3	2.08811E+0	9.90730E+1	1.00189E+2	7.49067E+3
5.99900E-1	6.07878E-1	1.00000E-3	2.10595E-3	2.10595E+0	9.90530E+1	1.00218E+2	7.62072E+3
