B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.08611E-1	1.00000E-3	2.01676E-2	2.01676E+1	5.40270E+1	5.50800E+1	7.35987E+4
3.99900E-1	4.07254E-1	1.00000E-3	1.21598E-2	1.21598E+1	5.40400E+1	5.50960E+1	7.36597E+4
1.99900E-1	2.03877E-1	1.00000E-3	4.37570E-3	4.37570E+0	5.40460E+1	5.51230E+1	7.37207E+4
0.00000E+0	6.48489E-4	1.00000E-3	-3.40463E-3	-3.40463E+0	5.40440E+1	5.51250E+1	7.37937E+4
-1.99900E-1	-1.98306E-1	1.00000E-3	-1.14300E-2	-1.14300E+1	5.40410E+1	5.51350E+1	7.38547E+4
-3.99900E-1	-4.01559E-1	1.00000E-3	-1.97751E-2	-1.97751E+1	5.40350E+1	5.51250E+1	7.39157E+4
-5.99900E-1	-6.05366E-1	1.00000E-3	-2.82284E-2	-2.82284E+1	5.40280E+1	5.51110E+1	7.39757E+4
5.99900E-1	6.07086E-1	1.00000E-3	2.01101E-2	2.01101E+1	5.40150E+1	5.51040E+1	7.41067E+4
