B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.03376E-1	1.00000E-3	1.75211E-1	1.75211E+2	3.38620E+1	3.50670E+1	6.14617E+4
3.99900E-1	4.01695E-1	1.00000E-3	1.68483E-1	1.68484E+2	3.39570E+1	3.50270E+1	6.15247E+4
1.99900E-1	2.00560E-1	1.00000E-3	1.50895E-1	1.50895E+2	3.40340E+1	3.50800E+1	6.15857E+4
0.00000E+0	2.71876E-4	1.00000E-3	1.28039E-1	1.28039E+2	3.40160E+1	3.51050E+1	6.16597E+4
-1.99900E-1	-1.99526E-1	1.00000E-3	1.53005E-1	1.53005E+2	3.39920E+1	3.51140E+1	6.17247E+4
-3.99900E-1	-4.00491E-1	1.00000E-3	1.73146E-1	1.73146E+2	3.39950E+1	3.51000E+1	6.17857E+4
-5.99900E-1	-6.01767E-1	1.00000E-3	1.86292E-1	1.86292E+2	3.40020E+1	3.51010E+1	6.18497E+4
