B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.04530E-1	5.00000E-6	1.05745E-2	2.11490E+3	2.79680E+1	2.90050E+1	5.73917E+4
3.99900E-1	4.02760E-1	5.00000E-6	9.50101E-3	1.90020E+3	2.80090E+1	2.90350E+1	5.74517E+4
1.99900E-1	2.01094E-1	5.00000E-6	8.34528E-3	1.66906E+3	2.80070E+1	2.90500E+1	5.75127E+4
0.00000E+0	2.34215E-4	5.00000E-6	6.78778E-3	1.35756E+3	2.79990E+1	2.90520E+1	5.75837E+4
-1.99900E-1	-1.99488E-1	5.00000E-6	8.45126E-3	1.69025E+3	2.79990E+1	2.90540E+1	5.76467E+4
-3.99900E-1	-4.01005E-1	5.00000E-6	9.55569E-3	1.91114E+3	2.80010E+1	2.90510E+1	5.77097E+4
-5.99900E-1	-6.02760E-1	5.00000E-6	1.05072E-2	2.10144E+3	2.80010E+1	2.90490E+1	5.77728E+4
