B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.05049E-1	1.00000E-3	9.93726E-3	9.93727E+0	2.19027E+2	2.19824E+2	2.72810E+4
3.99900E-1	4.02265E-1	1.00000E-3	9.90294E-3	9.90294E+0	2.19010E+2	2.19856E+2	2.73417E+4
1.99900E-1	2.01060E-1	1.00000E-3	9.88469E-3	9.88469E+0	2.19001E+2	2.19879E+2	2.74027E+4
0.00000E+0	1.13541E-3	1.00000E-3	9.87552E-3	9.87552E+0	2.19006E+2	2.19937E+2	2.74747E+4
-1.99900E-1	-1.98636E-1	1.00000E-3	9.87964E-3	9.87964E+0	2.18999E+2	2.19959E+2	2.75367E+4
-3.99900E-1	-4.00346E-1	1.00000E-3	9.89739E-3	9.89739E+0	2.19001E+2	2.19979E+2	2.75967E+4
-5.99900E-1	-6.03084E-1	1.00000E-3	9.92642E-3	9.92642E+0	2.19006E+2	2.19986E+2	2.76589E+4
5.99900E-1	6.05969E-1	1.00000E-3	9.95788E-3	9.95788E+0	2.19004E+2	2.20062E+2	2.77917E+4
