B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.03664E-1	1.00000E-3	1.98172E-1	1.98172E+2	3.89760E+1	4.00460E+1	6.77407E+4
3.99900E-1	4.02484E-1	1.00000E-3	1.25372E-1	1.25372E+2	3.89980E+1	4.00440E+1	6.78027E+4
1.99900E-1	2.01208E-1	1.00000E-3	5.34893E-2	5.34893E+1	3.90090E+1	4.00580E+1	6.78647E+4
0.00000E+0	3.84860E-4	1.00000E-3	-1.60408E-2	-1.60408E+1	3.90020E+1	4.00550E+1	6.79387E+4
-1.99900E-1	-1.98078E-1	1.00000E-3	-9.01742E-2	-9.01742E+1	3.89970E+1	4.00580E+1	6.80007E+4
-3.99900E-1	-3.99622E-1	1.00000E-3	-1.61172E-1	-1.61172E+2	3.89970E+1	4.01130E+1	6.80607E+4
-5.99900E-1	-6.01684E-1	1.00000E-3	-2.22608E-1	-2.22608E+2	3.90000E+1	4.01750E+1	6.81237E+4
5.99900E-1	6.03005E-1	1.00000E-3	1.98025E-1	1.98025E+2	3.90000E+1	4.00520E+1	6.82627E+4
