B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.08578E-1	1.00000E-3	1.35634E-3	1.35634E+0	9.90140E+1	1.00078E+2	7.10474E+3
3.99900E-1	4.06007E-1	1.00000E-3	5.23115E-4	5.23115E-1	9.90380E+1	1.00115E+2	7.16666E+3
1.99900E-1	2.04106E-1	1.00000E-3	-3.12963E-4	-3.12963E-1	9.90560E+1	1.00137E+2	7.22868E+3
0.00000E+0	4.32891E-4	1.00000E-3	-1.14533E-3	-1.14533E+0	9.90650E+1	1.00145E+2	7.30176E+3
-1.99900E-1	-1.97607E-1	1.00000E-3	-1.99066E-3	-1.99066E+0	9.90750E+1	1.00182E+2	7.36288E+3
-3.99900E-1	-4.01783E-1	1.00000E-3	-2.85862E-3	-2.85862E+0	9.90740E+1	1.00172E+2	7.42371E+3
-5.99900E-1	-6.04923E-1	1.00000E-3	-3.74222E-3	-3.74222E+0	9.90740E+1	1.00187E+2	7.48474E+3
5.99900E-1	6.06930E-1	1.00000E-3	1.35171E-3	1.35171E+0	9.90540E+1	1.00207E+2	7.61470E+3
