B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	5.87455E-1	1.00000E-3	-5.31487E-3	-5.31487E+0	2.79035E+2	2.81154E+2	3.29558E+4
3.99900E-1	3.90106E-1	1.00000E-3	-5.77518E-3	-5.77518E+0	2.79019E+2	2.81028E+2	3.30189E+4
1.99900E-1	1.95574E-1	1.00000E-3	-6.23902E-3	-6.23902E+0	2.79009E+2	2.80994E+2	3.30817E+4
0.00000E+0	1.87091E-3	1.00000E-3	-6.68360E-3	-6.68360E+0	2.79000E+2	2.80912E+2	3.31567E+4
-1.99900E-1	-1.90111E-1	1.00000E-3	-7.15652E-3	-7.15652E+0	2.79002E+2	2.80867E+2	3.32177E+4
-3.99900E-1	-3.87492E-1	1.00000E-3	-7.62592E-3	-7.62592E+0	2.79003E+2	2.80785E+2	3.32787E+4
-5.99900E-1	-5.87436E-1	1.00000E-3	-8.10506E-3	-8.10506E+0	2.79004E+2	2.80761E+2	3.33439E+4
5.99900E-1	5.91274E-1	1.00000E-3	-5.29400E-3	-5.29400E+0	2.79006E+2	2.80640E+2	3.34767E+4
