B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.04571E-1	5.00000E-6	1.08691E-2	2.17381E+3	2.79720E+1	2.90000E+1	5.73947E+4
3.99900E-1	4.02681E-1	5.00000E-6	9.67170E-3	1.93434E+3	2.80100E+1	2.90370E+1	5.74547E+4
1.99900E-1	2.01017E-1	5.00000E-6	8.43941E-3	1.68788E+3	2.80060E+1	2.90520E+1	5.75157E+4
0.00000E+0	3.09538E-4	5.00000E-6	6.83800E-3	1.36760E+3	2.80000E+1	2.90480E+1	5.75867E+4
-1.99900E-1	-1.99678E-1	5.00000E-6	8.52715E-3	1.70543E+3	2.80000E+1	2.90420E+1	5.76499E+4
-3.99900E-1	-4.01084E-1	5.00000E-6	9.60583E-3	1.92117E+3	2.80010E+1	2.90490E+1	5.77127E+4
-5.99900E-1	-6.02801E-1	5.00000E-6	1.03836E-2	2.07672E+3	2.80000E+1	2.90470E+1	5.77757E+4
