B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	5.87252E-1	1.00000E-3	8.17433E-3	8.17432E+0	2.79036E+2	2.81119E+2	3.29497E+4
3.99900E-1	3.93592E-1	1.00000E-3	7.69197E-3	7.69197E+0	2.79021E+2	2.81061E+2	3.30119E+4
1.99900E-1	1.97933E-1	1.00000E-3	7.22207E-3	7.22207E+0	2.79011E+2	2.80997E+2	3.30757E+4
0.00000E+0	1.87091E-3	1.00000E-3	6.73686E-3	6.73686E+0	2.78999E+2	2.80923E+2	3.31499E+4
-1.99900E-1	-1.87666E-1	1.00000E-3	6.28310E-3	6.28310E+0	2.79003E+2	2.80846E+2	3.32117E+4
-3.99900E-1	-3.83861E-1	1.00000E-3	5.80899E-3	5.80899E+0	2.79004E+2	2.80830E+2	3.32727E+4
-5.99900E-1	-5.84658E-1	1.00000E-3	5.35776E-3	5.35776E+0	2.78998E+2	2.80730E+2	3.33377E+4
5.99900E-1	5.88999E-1	1.00000E-3	8.14564E-3	8.14564E+0	2.79008E+2	2.80631E+2	3.34700E+4
