B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.05148E-1	1.00000E-3	1.61523E-2	1.61523E+1	4.40530E+1	4.48810E+1	6.94737E+4
3.99900E-1	4.02839E-1	1.00000E-3	1.51903E-2	1.51903E+1	4.39980E+1	4.48980E+1	6.95347E+4
1.99900E-1	2.01094E-1	1.00000E-3	1.38467E-2	1.38467E+1	4.39700E+1	4.48780E+1	6.95967E+4
0.00000E+0	2.34215E-4	1.00000E-3	1.26494E-2	1.26494E+1	4.39870E+1	4.48710E+1	6.96697E+4
-1.99900E-1	-1.99945E-1	1.00000E-3	1.41496E-2	1.41496E+1	4.40120E+1	4.48830E+1	6.97357E+4
-3.99900E-1	-4.01519E-1	1.00000E-3	1.58606E-2	1.58606E+1	4.40150E+1	4.49340E+1	6.97987E+4
-5.99900E-1	-6.03711E-1	1.00000E-3	1.73275E-2	1.73275E+1	4.40030E+1	4.49210E+1	6.98619E+4
5.99900E-1	6.05272E-1	1.00000E-3	1.61714E-2	1.61714E+1	4.39960E+1	4.49100E+1	6.99947E+4
