B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.04860E-1	3.00000E-6	2.25209E-2	7.50698E+3	2.69920E+1	2.80190E+1	5.66849E+4
3.99900E-1	4.02641E-1	3.00000E-6	1.96554E-2	6.55178E+3	2.70080E+1	2.80420E+1	5.67467E+4
1.99900E-1	2.01132E-1	3.00000E-6	1.69045E-2	5.63483E+3	2.70020E+1	2.80400E+1	5.68067E+4
0.00000E+0	3.47199E-4	3.00000E-6	1.33098E-2	4.43659E+3	2.70010E+1	2.80460E+1	5.68817E+4
-1.99900E-1	-1.99793E-1	3.00000E-6	1.59472E-2	5.31573E+3	2.70000E+1	2.80480E+1	5.69437E+4
-3.99900E-1	-4.01084E-1	3.00000E-6	1.74938E-2	5.83126E+3	2.69990E+1	2.80430E+1	5.70057E+4
-5.99900E-1	-6.03132E-1	3.00000E-6	1.86139E-2	6.20465E+3	2.70000E+1	2.80460E+1	5.70677E+4
