B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.07843E-1	1.00000E-3	5.00361E-3	5.00360E+0	1.98814E+2	1.99780E+2	2.51287E+4
3.99900E-1	4.04360E-1	1.00000E-3	4.99006E-3	4.99006E+0	1.98853E+2	1.99789E+2	2.51907E+4
1.99900E-1	2.01882E-1	1.00000E-3	4.97879E-3	4.97879E+0	1.98908E+2	1.99801E+2	2.52527E+4
0.00000E+0	7.30299E-4	1.00000E-3	4.97004E-3	4.97004E+0	1.98972E+2	1.99813E+2	2.53247E+4
-1.99900E-1	-1.99590E-1	1.00000E-3	4.98535E-3	4.98535E+0	1.99015E+2	1.99848E+2	2.53857E+4
-3.99900E-1	-4.01839E-1	1.00000E-3	4.99452E-3	4.99452E+0	1.99047E+2	1.99890E+2	2.54487E+4
-5.99900E-1	-6.04828E-1	1.00000E-3	5.02607E-3	5.02607E+0	1.99062E+2	1.99938E+2	2.55097E+4
5.99900E-1	6.07377E-1	1.00000E-3	5.01799E-3	5.01799E+0	1.99051E+2	2.00000E+2	2.56407E+4
