B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.08537E-1	1.00000E-3	2.11015E-3	2.11015E+0	9.90190E+1	1.00083E+2	7.11366E+3
3.99900E-1	4.05258E-1	1.00000E-3	2.06506E-3	2.06506E+0	9.90430E+1	1.00118E+2	7.17569E+3
1.99900E-1	2.02542E-1	1.00000E-3	2.03276E-3	2.03276E+0	9.90590E+1	1.00112E+2	7.23771E+3
0.00000E+0	4.32879E-4	1.00000E-3	2.02090E-3	2.02090E+0	9.90690E+1	1.00162E+2	7.31089E+3
-1.99900E-1	-2.00544E-1	1.00000E-3	2.02679E-3	2.02679E+0	9.90760E+1	1.00177E+2	7.37271E+3
-3.99900E-1	-4.03327E-1	1.00000E-3	2.05177E-3	2.05177E+0	9.90760E+1	1.00189E+2	7.43295E+3
-5.99900E-1	-6.06206E-1	1.00000E-3	2.09299E-3	2.09299E+0	9.90710E+1	1.00201E+2	7.49368E+3
5.99900E-1	6.08043E-1	1.00000E-3	2.11057E-3	2.11057E+0	9.90520E+1	1.00203E+2	7.62393E+3
