B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.07720E-1	1.00000E-3	8.05074E-3	8.05074E+0	1.98821E+2	1.99772E+2	2.51437E+4
3.99900E-1	4.04360E-1	1.00000E-3	8.00633E-3	8.00633E+0	1.98865E+2	1.99778E+2	2.52057E+4
1.99900E-1	2.01769E-1	1.00000E-3	7.98556E-3	7.98556E+0	1.98920E+2	1.99782E+2	2.52677E+4
0.00000E+0	7.30280E-4	1.00000E-3	7.97369E-3	7.97369E+0	1.98987E+2	1.99838E+2	2.53407E+4
-1.99900E-1	-2.00119E-1	1.00000E-3	7.98000E-3	7.98000E+0	1.99025E+2	1.99877E+2	2.54027E+4
-3.99900E-1	-4.01918E-1	1.00000E-3	8.00229E-3	8.00229E+0	1.99049E+2	1.99887E+2	2.54637E+4
-5.99900E-1	-6.04993E-1	1.00000E-3	8.03014E-3	8.03014E+0	1.99062E+2	1.99933E+2	2.55257E+4
5.99900E-1	6.07665E-1	1.00000E-3	8.06892E-3	8.06892E+0	1.99047E+2	1.99990E+2	2.56567E+4
