B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.08468E-1	1.00000E-3	3.60432E-3	3.60432E+0	1.18808E+2	1.20042E+2	1.28427E+4
3.99900E-1	4.04914E-1	1.00000E-3	3.54266E-3	3.54266E+0	1.18848E+2	1.20002E+2	1.29029E+4
1.99900E-1	2.02029E-1	1.00000E-3	3.49631E-3	3.49631E+0	1.18899E+2	1.20006E+2	1.29639E+4
0.00000E+0	5.38574E-4	1.00000E-3	3.47965E-3	3.47965E+0	1.18969E+2	1.20018E+2	1.30397E+4
-1.99900E-1	-2.00955E-1	1.00000E-3	3.48874E-3	3.48874E+0	1.19020E+2	1.20032E+2	1.31007E+4
-3.99900E-1	-4.03600E-1	1.00000E-3	3.51280E-3	3.51280E+0	1.19055E+2	1.20042E+2	1.31647E+4
-5.99900E-1	-6.06781E-1	1.00000E-3	3.56235E-3	3.56235E+0	1.19075E+2	1.20070E+2	1.32297E+4
5.99900E-1	6.08549E-1	1.00000E-3	3.60331E-3	3.60331E+0	1.19062E+2	1.20115E+2	1.33597E+4
