B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
3.99900E-1	4.10369E-1	1.00000E-3	3.55885E-2	3.55885E+1	4.89500E+1	4.98670E+1	7.15917E+4
1.99900E-1	2.08643E-1	1.00000E-3	2.02993E-2	2.02993E+1	4.89880E+1	4.98600E+1	7.16527E+4
0.00000E+0	5.35505E-4	1.00000E-3	5.39524E-3	5.39524E+0	4.90250E+1	4.98870E+1	7.17267E+4
-1.99900E-1	-1.90836E-1	1.00000E-3	-8.64009E-3	-8.64009E+0	4.90260E+1	4.99030E+1	7.17867E+4
-3.99900E-1	-3.95209E-1	1.00000E-3	-2.29010E-2	-2.29010E+1	4.90050E+1	4.99250E+1	7.18487E+4
-5.99900E-1	-5.95785E-1	1.00000E-3	-3.74817E-2	-3.74817E+1	4.89890E+1	4.99200E+1	7.19099E+4
5.99900E-1	5.99175E-1	1.00000E-3	5.07193E-2	5.07193E+1	4.90040E+1	4.99160E+1	7.20527E+4
