B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.03376E-1	1.00000E-3	8.41370E-1	8.41370E+2	3.38770E+1	3.51060E+1	6.14407E+4
3.99900E-1	4.04770E-1	1.00000E-3	6.03985E-1	6.03985E+2	3.39140E+1	3.50190E+1	6.15029E+4
1.99900E-1	2.03229E-1	1.00000E-3	3.26544E-1	3.26544E+2	3.40200E+1	3.50590E+1	6.15647E+4
0.00000E+0	3.09538E-4	1.00000E-3	5.37530E-2	5.37530E+1	3.40260E+1	3.51060E+1	6.16377E+4
-1.99900E-1	-1.96934E-1	1.00000E-3	-1.78228E-1	-1.78229E+2	3.39950E+1	3.51540E+1	6.17019E+4
-3.99900E-1	-3.96982E-1	1.00000E-3	-4.06379E-1	-4.06379E+2	3.39920E+1	3.51620E+1	6.17647E+4
-5.99900E-1	-5.99576E-1	1.00000E-3	-6.06293E-1	-6.06293E+2	3.40000E+1	3.51270E+1	6.18267E+4
