B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.03252E-1	1.00000E-3	2.52697E-1	2.52697E+2	3.78180E+1	3.89470E+1	6.65787E+4
3.99900E-1	4.02326E-1	1.00000E-3	1.60729E-1	1.60730E+2	3.79640E+1	3.89410E+1	6.66387E+4
1.99900E-1	2.00941E-1	1.00000E-3	6.78757E-2	6.78757E+1	3.80610E+1	3.90200E+1	6.67007E+4
0.00000E+0	2.71876E-4	1.00000E-3	-1.92589E-2	-1.92589E+1	3.80310E+1	3.90670E+1	6.67717E+4
-1.99900E-1	-1.98192E-1	1.00000E-3	-1.11773E-1	-1.11773E+2	3.79860E+1	3.90480E+1	6.68327E+4
-3.99900E-1	-3.99740E-1	1.00000E-3	-2.01693E-1	-2.01693E+2	3.79870E+1	3.90810E+1	6.68967E+4
-5.99900E-1	-6.01146E-1	1.00000E-3	-2.04357E-1	-2.04357E+2	3.79990E+1	3.92900E+1	6.69597E+4
5.99900E-1	6.02716E-1	1.00000E-3	2.46809E-1	2.46809E+2	3.79980E+1	3.90400E+1	6.70907E+4
