B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.00301E-1	1.00000E-3	1.21570E-2	1.21570E+1	2.39027E+2	2.40175E+2	2.93188E+4
3.99900E-1	3.98967E-1	1.00000E-3	1.21268E-2	1.21268E+1	2.39013E+2	2.40173E+2	2.93787E+4
1.99900E-1	1.99401E-1	1.00000E-3	1.21037E-2	1.21037E+1	2.39003E+2	2.40207E+2	2.94408E+4
0.00000E+0	1.18236E-3	1.00000E-3	1.20981E-2	1.20981E+1	2.39007E+2	2.40217E+2	2.95138E+4
-1.99900E-1	-1.96793E-1	1.00000E-3	1.20999E-2	1.20999E+1	2.38998E+2	2.40214E+2	2.95767E+4
-3.99900E-1	-3.97634E-1	1.00000E-3	1.21148E-2	1.21148E+1	2.39000E+2	2.40187E+2	2.96397E+4
-5.99900E-1	-6.00109E-1	1.00000E-3	1.21384E-2	1.21384E+1	2.39002E+2	2.40224E+2	2.97018E+4
5.99900E-1	6.02827E-1	1.00000E-3	1.21664E-2	1.21664E+1	2.39003E+2	2.40257E+2	2.98327E+4
