B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.07896E-1	1.00000E-3	3.26733E-3	3.26733E+0	1.58821E+2	1.59920E+2	1.92077E+4
3.99900E-1	4.04779E-1	1.00000E-3	3.23705E-3	3.23705E+0	1.58853E+2	1.59883E+2	1.92707E+4
1.99900E-1	2.02290E-1	1.00000E-3	3.22081E-3	3.22081E+0	1.58901E+2	1.59863E+2	1.93348E+4
0.00000E+0	4.97293E-4	1.00000E-3	3.21215E-3	3.21215E+0	1.58958E+2	1.59878E+2	1.94087E+4
-1.99900E-1	-1.99870E-1	1.00000E-3	3.21736E-3	3.21736E+0	1.59001E+2	1.59896E+2	1.94717E+4
-3.99900E-1	-4.02401E-1	1.00000E-3	3.23217E-3	3.23217E+0	1.59038E+2	1.59924E+2	1.95317E+4
-5.99900E-1	-6.05603E-1	1.00000E-3	3.25800E-3	3.25800E+0	1.59055E+2	1.59942E+2	1.95937E+4
5.99900E-1	6.07562E-1	1.00000E-3	3.26910E-3	3.26910E+0	1.59051E+2	1.59990E+2	1.97259E+4
