B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.04984E-1	1.00000E-3	2.89952E-2	2.89952E+1	4.40460E+1	4.48830E+1	6.94827E+4
3.99900E-1	4.02799E-1	1.00000E-3	2.68830E-2	2.68830E+1	4.39920E+1	4.48900E+1	6.95438E+4
1.99900E-1	2.01132E-1	1.00000E-3	2.40075E-2	2.40075E+1	4.39700E+1	4.48650E+1	6.96067E+4
0.00000E+0	3.09538E-4	1.00000E-3	2.15838E-2	2.15838E+1	4.39930E+1	4.48620E+1	6.96799E+4
-1.99900E-1	-2.00098E-1	1.00000E-3	2.35054E-2	2.35054E+1	4.40130E+1	4.48840E+1	6.97449E+4
-3.99900E-1	-4.01401E-1	1.00000E-3	2.58384E-2	2.58384E+1	4.40140E+1	4.49240E+1	6.98077E+4
-5.99900E-1	-6.03546E-1	1.00000E-3	2.75622E-2	2.75622E+1	4.40010E+1	4.49120E+1	6.98717E+4
5.99900E-1	6.05148E-1	1.00000E-3	2.89087E-2	2.89087E+1	4.39960E+1	4.49100E+1	7.00039E+4
