B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.04489E-1	2.00000E-4	1.48174E+0	7.40871E+3	2.90010E+1	3.00250E+1	5.81067E+4
3.99900E-1	4.03627E-1	2.00000E-4	9.42127E-1	4.71063E+3	2.90130E+1	3.00520E+1	5.81677E+4
1.99900E-1	2.02161E-1	2.00000E-4	4.21467E-1	2.10733E+3	2.90020E+1	3.00540E+1	5.82287E+4
0.00000E+0	5.73166E-4	2.00000E-4	-9.42207E-2	-4.71103E+2	2.90000E+1	3.00450E+1	5.83027E+4
-1.99900E-1	-1.97353E-1	2.00000E-4	-6.48344E-1	-3.24172E+3	2.90010E+1	3.00510E+1	5.83639E+4
-3.99900E-1	-3.99582E-1	2.00000E-4	-1.18435E+0	-5.92177E+3	2.90000E+1	3.00520E+1	5.84277E+4
-5.99900E-1	-6.01560E-1	2.00000E-4	-1.67489E+0	-8.37445E+3	2.90000E+1	3.00520E+1	5.84887E+4
