B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.05684E-1	5.00000E-8	4.11163E-3	8.22327E+4	2.39880E+1	2.49800E+1	5.45117E+4
3.99900E-1	4.02878E-1	5.00000E-8	3.53658E-3	7.07317E+4	2.40040E+1	2.50030E+1	5.45719E+4
1.99900E-1	2.01208E-1	5.00000E-8	2.97449E-3	5.94898E+4	2.40010E+1	2.50140E+1	5.46347E+4
0.00000E+0	3.84860E-4	5.00000E-8	2.26038E-3	4.52076E+4	2.40010E+1	2.50200E+1	5.47087E+4
-1.99900E-1	-2.00060E-1	5.00000E-8	2.71548E-3	5.43095E+4	2.40000E+1	2.50220E+1	5.47717E+4
-3.99900E-1	-4.01796E-1	5.00000E-8	2.98038E-3	5.96075E+4	2.39990E+1	2.50210E+1	5.48317E+4
-5.99900E-1	-6.03628E-1	5.00000E-8	3.21785E-3	6.43570E+4	2.39980E+1	2.50220E+1	5.48947E+4
