B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.08570E-1	1.00000E-3	1.09036E-2	1.09036E+1	5.40350E+1	5.50940E+1	7.36237E+4
3.99900E-1	4.05046E-1	1.00000E-3	1.01366E-2	1.01366E+1	5.40440E+1	5.51190E+1	7.36837E+4
1.99900E-1	2.02390E-1	1.00000E-3	9.33087E-3	9.33087E+0	5.40480E+1	5.51260E+1	7.37467E+4
0.00000E+0	4.60183E-4	1.00000E-3	8.87897E-3	8.87897E+0	5.40450E+1	5.51300E+1	7.38177E+4
-1.99900E-1	-2.01053E-1	1.00000E-3	9.19283E-3	9.19283E+0	5.40380E+1	5.51380E+1	7.38798E+4
-3.99900E-1	-4.03537E-1	1.00000E-3	9.86681E-3	9.86681E+0	5.40310E+1	5.51120E+1	7.39398E+4
-5.99900E-1	-6.06814E-1	1.00000E-3	1.04928E-2	1.04928E+1	5.40260E+1	5.51210E+1	7.39997E+4
5.99900E-1	6.08941E-1	1.00000E-3	1.08945E-2	1.08945E+1	5.40120E+1	5.51070E+1	7.41307E+4
