B_digital_(T)	B_analog_(T)	I_s	V_s	R_s	T_VTI_(K)	T_sample_(K)	Time
5.99900E-1	6.03747E-1	3.00000E-4	8.91703E-2	2.97234E+2	3.28770E+1	3.40480E+1	6.08047E+4
3.99900E-1	4.01853E-1	3.00000E-4	8.35538E-2	2.78513E+2	3.29410E+1	3.39990E+1	6.08647E+4
1.99900E-1	2.00674E-1	3.00000E-4	7.23095E-2	2.41032E+2	3.30250E+1	3.40470E+1	6.09268E+4
0.00000E+0	3.47199E-4	3.00000E-4	5.83736E-2	1.94579E+2	3.30180E+1	3.40790E+1	6.09997E+4
-1.99900E-1	-1.99602E-1	3.00000E-4	6.88256E-2	2.29419E+2	3.29980E+1	3.40810E+1	6.10628E+4
-3.99900E-1	-4.00293E-1	3.00000E-4	7.51579E-2	2.50526E+2	3.29990E+1	3.40960E+1	6.11267E+4
-5.99900E-1	-6.01849E-1	3.00000E-4	8.01993E-2	2.67331E+2	3.29980E+1	3.40720E+1	6.11897E+4
